7 	 Among other things , they would also freeze Taliban assets abroad and restrict foreign travel by Taliban officials . 	 restrict 	 also 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-DIS 	 None
1222 	 Some days when I 'm feeling bad , I say I ca n't do this anymore , and then you wake up and see the crew , and then , you know , you snap out of it . 	 wake 	 then 	 ARGM-TMP 	 label_error 	 correct 	 ARGM-DIS 	 None
1226 	 I think the reforms that came as a part of the large settlement are going to change the way research and investment banking are done to the betterment of the individual investor . 	 done 	 to the betterment of the individual investor 	 ARGM-ADV 	 label_error 	 correct 	 ARG2 	 None
1251 	 Just as he did that , that 's when you saw the child just walking just a few feet away from him but the officers were able to get the child away . 	 get 	 away 	 ARGM-DIR 	 label_error 	 correct 	 ARG2 	 None
1253 	 He has had more than 30 one - man shows and his paintings are quite delicately done and there he is also very well known as a playwright . 	 known 	 very well 	 ARGM-EXT 	 label_error 	 correct 	 ARGM-MNR 	 None
1255 	 We are still in crisis and we will be I think for a while , but the current crisis Jonetic hopes will at least be one where government critics will not be branded as traitors and be banned from public performances . 	 performances 	 public 	 ARG2 	 label_error 	 correct 	 ARGM-MNR 	 None
1261 	 In fact his visit has somewhat been ignored and in fact the main news story here in India has been sort of a local controversy over the roll - back of fuel prices rather than Mr. Putin 's visit , but he did do what he had to do and he certainly strengthened ties in a strategic sense between Russia and India . 	 been 	 in fact 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-DIS 	 None
1262 	 Most of the Kursk 's crew apparently died instantly in the explosions that tore open the Kursk 's first six compartments or within minutes as water roared into the submarine . 	 tore 	 open 	 ARG2 	 label_error 	 correct 	 R-ARG1 	 None
1264 	 We 're expecting that the Homeland Security Secretary will announce , that this Iraqi lawyer , who provided the information to U.S. military authority IES has been granted asylum here in the United States , together with his wife and daughter . 	 granted 	 together with his wife and daughter 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-MNR 	 None
1266 	 Violence between Israelis and Palestinians continued in its third month , though at a slightly reduced level overall . 	 reduced 	 slightly 	 ARGM-EXT 	 label_error 	 correct 	 ARGM-ADV 	 None
1274 	 First time claims jumped by 7,000 last week , surprising analysts , and the four - week average hit its highest level since January of last year . 	 jumped 	 surprising analysts 	 ARGM-ADV 	 label_error 	 correct 	 ARGM-PRD 	 None
1275 	 CIA officials say they never received it . 	 received 	 never 	 ARGM-TMP 	 label_error 	 correct 	 ARGM-NEG 	 None
1277 	 Yemeni authorities claimed they have detained over 70 people for questioning . 	 detained 	 for questioning 	 ARGM-PNC 	 label_error 	 correct 	 ARG2 	 None
1286 	 Other POWs from Iraq after they were captured and released , that dramatic release that Sunday morning when they were picked up by a squadron of Marines who had wandered in a town in Baghdad and were told where they were being kept . 	 wandered 	 in a town in Baghdad 	 ARGM-LOC 	 label_error 	 correct 	 ARGM-DIR 	 None
