%uh I mean if they denied my citizenship and I became a citizen here I probably would n't be a horror either ,	mean	3	ARG1	element containing meaning	if they denied my citizenship and i became a citizen here i probably wouldn't be a horror either	if they denied my citizenship and i became a citizen here i probably would n't be a horror either	boundary_error
Does she know that you 're Muslim ?	know	3	ARG1	fact that is known	that you're muslim	that you 're muslim	boundary_error
I said you know it 's a shame that you ca n't go no place and I can get a good report on you you know , %um , and by her going to Francis and things , and Francis seeing for herself ,	go	13	ARG0	goer	you her	you	boundary_error
I said you know it 's a shame that you ca n't go no place and I can get a good report on you you know , %um , and by her going to Francis and things , and Francis seeing for herself ,	go	13	ARG4	end point	no place francis and things	no place	boundary_error
I mean that 's the military .	mean	2	ARG1	element containing meaning	that	that 's the military	boundary_error
yeah , I think that there was some concern about her when I talked to you in September or October .	talked	14	ARG2	hearer	you	to you	boundary_error
she called mom Monday And talked to mom for two hours	talked	6	ARG2	hearer	mom	to mom	boundary_error
he seems to feel really like he 's doing the right thing	seems	2	ARG1	thing seeming	to feel really like he’s doing the right thing	to feel really like he 's doing the right thing he	boundary_error
And in it I put , %um paint samples from Sherwin Williams uh-huh . of all the different like shades of what color I thought you might be thinking of for the bride 's maids .	thought	25	ARG1	Thought	what color you might be thinking of for the bride's maids	what color you might be thinking of for the bride 's maids	boundary_error
%uh lay there let me look at my grandmother kind of thing	let	4	ARG1	action allowed	me look at my grandmother kind of thing	me look at my grandmother	boundary_error
Anyway they take , %uh fluid out of it .	take	3	ARG2	taken FROM, SOURCE of thing taken	it	out of it	boundary_error
I said I feel like I know you even though I never met you .	feel	4	ARG1	belief	like i know you	i know you even though i never met you	boundary_error
and Francis was very concerned in reference to you know she was in school and things	know	10	ARG1	fact that is known	she was in school and things	she was in school	boundary_error
but it has to be debited from a bank account so it 's got to be debited from his .	debited	6	ARG2	thing being subtracted from, or who must pay	a bank account his	from a bank account	boundary_error
I said you know it 's a shame that you ca n't go no place and I can get a good report on you you know , %um , and by her going to Francis and things , and Francis seeing for herself ,	know	4	ARG1	fact that is known	it’s a shame that you can’t go no place and i can get a good report on you you know, %um, and by her going to francis and things, and francis seeing for herself	it 's a shame that you ca n't go no place and i can get a good report on you you know , %um , and by her going to francis and things , and francis seeing for herself	boundary_error
and mom said so we found out ,	said	3	ARG1	Utterance	so	so we found out	boundary_error
And I was having a lot of trouble getting across to him that all of the literature has this frequency in the transients Yes . %eh and not driven .	getting	9	ARG1	thing in motion	that all of the literature has this frequency in the transients	that all of the literature has this frequency in the transients yes . %eh and not driven	boundary_error
just all of Lorraine 's friends . mhm . Who you know of course most of them mom and dad had at least met once before .	know	12	ARG1	fact that is known	that most of lorraine’s friends had been met by mom and dad at least once before	who	boundary_error
Told her that she could n't talk to Jasmine play with Jasmine because she said she hurt Jasmine 's Jetta you know	talk	7	ARG2	hearer	jasmine	to jasmine	boundary_error
Well I guess she did that because someone suggested that to her because you know the lillies the symbol of the virgin Mary .	suggested	9	ARG2	Hearer	her	to her	boundary_error
and she said that if it was n't for Jetta you know Jasmine 's daddy would n't be	know	12	ARG1	fact that is known	jasmine's daddy wouldn't be	jasmine 's daddy would n't be	boundary_error
%um and I asked her	asked	4	ARG0	asker	%um and i	i	boundary_error
-- and she 's telling me about you know her sister 's wedding .	know	9	ARG1	fact that is known	her sister's wedding	her sister 's wedding	boundary_error
Well it 's good to hear from Francis who 's had a lot of child-	hear	6	ARG2	speaker, source of sound	francis	from francis who 's had a lot of child-	boundary_error
You know Tufts yeah . sent her to Taiwa	know	2	ARG1	fact that is known	tufts sent her to taiwa	tufts tufts yeah . sent her to taiwa	boundary_error
So , I had one client who said that he 'd pay me a minimum amount .	said	8	ARG1	Utterance	that he'd pay me a minimum amount	that he 'd pay me a minimum amount	boundary_error
it has an off board power supply which they did n't steal , which makes the thing that they **stoled** absolutely worthless .	steal	12	ARG1	thing stolen	an off board power supply the thing	an off board power supply	boundary_error
Are you talking to me ?	talking	3	ARG2	hearer	me	to me	boundary_error
As long as I do n't bring it back to the states .	bring	7	ARG2	benefactive or destination brought-for, brought-to,	the states	back to the states to the states	boundary_error
but it has to be debited from a bank account so it 's got to be debited from his .	debited	17	ARG2	thing being subtracted from, or who must pay	a bank account his account	from his	boundary_error
And it was a very nice letter , because it sounded like she went through very similar things that I did .	went	14	ARG2	experienced	very similar things that i did	through very similar things that i did	boundary_error
if you separate out the different modes of the laser mhm . and look at one of those , you get more than one frequency .	look	14	ARG1	thing looked at or for or on	one of those	at one of those	boundary_error
I said %um please come to Shabbat	said	2	ARG1	Utterance	%um please come to shabbat	please come to shabbat	boundary_error
if you 're in another country I mean and you 're not planning on coming back to the U S what are they going to do even if you do n't .	coming	15	ARG4	end point	the u s	back to the u s to the u s	boundary_error
I know Sue is going to Rhode Island .	going	5	ARG4	end point	rhode island	to rhode island	boundary_error
And it 'll be exactly what I want	want	8	ARG1	thing wanted	what	exactly what	boundary_error
She said they had her doing things that she really was n't qualified to do %ah . and that she really did n't feel competent doing .	qualified	13	ARG2	for what?	to do things	to do	boundary_error
Let me look for my phonebook .	look	3	ARG1	thing looked at or for or on	my phonebook	for my phonebook	boundary_error
I mean , you know , writing a couple of articles based on your Master 's thesis , is , not at all unusual in Physics	based	12	ARG2	justification, parts/ arg1 is made up of what?	your master’s thesis	on your master 's thesis	boundary_error
And she went from Penn , %um To Columbia . to Columbia to U R I .	went	3	ARG4	end point	u r i	to u r i	boundary_error
And she went from Penn , %um To Columbia . to Columbia to U R I .	went	3	ARG3	start point	penn	from penn	boundary_error
It 's just But %um %uh , %uh , the main reason for that is I had not really anticipated a few expenses that recently came up %ah . %uh , related to a couple of burglaries that I had .	related	32	ARG2	what it's related to	a couple of burglaries that i had	to a couple of burglaries that i had	boundary_error
She said they had her doing things that she really was n't qualified to do %ah . and that she really did n't feel competent doing .	feel	24	ARG1	emotion or sensation	competent	competent doing	boundary_error
And I 'm actually waiting for Claudia to show up because we were supposed to go into town and meet some people in town .	meet	20	ARG1	other party	some people in town	some people	boundary_error
and he said he could n't keep on top of it .	keep	7	ARG1	thing kept	it	on top of it	boundary_error
I think what we got to do is just when he comes just have lots of cereal .	do	7	ARG1	thing done	just when he comes just have lots of cereal	what	boundary_error
Which was actually where the major problem came . Exactly . Exactly . yeah . Is that I suddenly had no transportation .	came	8	ARG2	source, basis on which arg1 comes to be  (not start point of motion!)	which	where	boundary_error
%um , depends on what you guys want to see .	depends	3	ARG1	depended on	what you guys want to see	on what you guys want to see	boundary_error
And this made writing my thesis very annoying because you know there was n't much discussion .	know	11	ARG1	fact that is known	there wasn't much discussion	there was n't much discussion	boundary_error
things have come to a point where I may have to relinquish my , %uh parenting .	come	3	ARG1	object	to a point	things	boundary_error
things have come to a point where I may have to relinquish my , %uh parenting .	come	3	ARG2	attribute on arg1	where i may have to relinquish my , %uh parenting	to a point where i may have to relinquish my , %uh parenting to a point	boundary_error
I mean things have been happening that has just scared the heck out of me .	scared	10	ARG0	scary entity	things have been happening that	things things have been happening	boundary_error
I mean things have been happening that has just scared the heck out of me .	scared	10	ARG3	intensifier, extent	just the heck	the heck	boundary_error
And then you know before he leaves every morning he has like two fried eggs mhm on toast with cheese %um vegetarian sausages %um and like fruit	fried	14	ARG1	food	two fried eggs	eggs	boundary_error
and so we met , %um , %uh Adrian , their kid , who was three uh-huh . and just a really lovely little boy .	met	4	ARG1	person / entity / object being met	adrian, their kid, who was three uh-huh	adrian , their kid , who was three uh-huh . and just a really lovely little boy	boundary_error
I mean , you know , writing a couple of articles based on your Master 's thesis , is , not at all unusual in Physics	writing	7	ARG1	thing written	a couple of articles based on your master’s thesis	a couple of articles based on your master 's thesis	boundary_error
Climbs down the stairs	Climbs	1	ARG1	thing climbed (clomb?)	the stairs	down the stairs climbs	boundary_error
Told her that she could n't talk to Jasmine play with Jasmine because she said she hurt Jasmine 's Jetta you know	said	15	ARG1	Utterance	she hurt jasmine's jetta	she hurt jasmine 's jetta	boundary_error
%um and I keep thinking maybe I 'd get in touch	get	9	ARG2	attribute of arg1 (not a VP node)	in	in touch	boundary_error
She do n't have time for that %uh .	have	4	ARG1	possession	time	time for that	boundary_error
and he was diagnosed as having attention deficit disorder .	diagnosed	4	ARG2	illness	attention deficit disorder	as having attention deficit disorder	boundary_error
Do they do that to everyone ?	do	3	ARG2	benefactive, done for or about	everyone	to everyone	boundary_error
Even Charlie 's going to join ?	join	6	ARG0	agent, entity doing the tying	charlie	even charlie	boundary_error
But you know it 'll never be more than about seventy or eighty percent . Which is fine .	know	3	ARG1	fact that is known	it'll never be more than about seventy or eighty percent	it 'll never be more than about seventy or eighty percent	boundary_error
I spoke to her mom on Thursday	spoke	2	ARG2	hearer	her mom	to her mom	boundary_error
Well it 'll look good on your C V , your resume .	look	4	ARG1	thing looked at or for or on	on your c v, your resume	your c v , your resume	boundary_error
aw I 've heard of that .	heard	4	ARG1	utterance, sound	that	of that	boundary_error
And , %uh , what happened was after I had turned in my thesis but before I saw Neil again , he went to a conference in Rochester and there this was a big issue among the people who were doing this work , was , that their models could n't show this as a driven frequency ,	went	23	ARG4	end point	rochester	to a conference in rochester	boundary_error
%um 118.91_120.82_B: Let 's see ,	see	5	ARG0	viewer	us	's	boundary_error
So that 's what I 'm doing .	doing	7	ARG1	thing done	what i'm doing	what	boundary_error
She 's been away with her class oh . up around Blandenburg for about two weeks on a , what they call Feldmessen .	call	22	ARG1	item being labelled	what (referring to the event/trip)	what	boundary_error
Some amount that has to be deducted a certain amount	deducted	7	ARG1	thing being subtracted	a certain amount	some amount	boundary_error
nah do n't worry about it .	worry	4	ARG1	topic of worry	it	about it	boundary_error
you know I 'll probably be there some time around six	know	2	ARG1	fact that is known	i’ll probably be there some time around six	i 'll probably be there some time around six	boundary_error
and we can like do a quick dinner or something yeah and go see whatever you want to see ,	want	17	ARG1	thing wanted	to see whatever	to see	boundary_error
Well , I mean obviously since I work I ca n't get there until about six o'clock at night which is when everyone else gets there .	mean	4	ARG1	element containing meaning	obviously since i work i can't get there until about six o'clock at night which is when everyone else gets there	obviously since i work i ca n't get there until about six o'clock at night which is when everyone else gets there	boundary_error
She wrote me a letter mhm . you know about her needing a lot of love , a lot of %um help and different things like this ,	know	9	ARG2	entity that arg1 is known ABOUT	her	about her needing a lot of love , a lot of %um help and different things like this	boundary_error
You know , I went from Chicago to U C S G to here .	went	5	ARG4	end point	u c s g here	to here	boundary_error
You know , I went from Chicago to U C S G to here .	went	5	ARG3	start point	chicago	from chicago	boundary_error
But then again I 'm not sure that Kim would be interested in seeing Shape Headquarters and you know all that kind of stuff . those military things .	seeing	14	ARG1	thing viewed	shape headquarters and all that kind of stuff	shape headquarters shape headquarters and you know all that kind of stuff . those military things	boundary_error
If you want to go %uh off into the countryside somewhere and see a little bit of , echte Holland , real Holland and we can do that too .	see	13	ARG1	thing viewed	a little bit of echte holland	a little bit of , echte holland , real holland	boundary_error
And I 'm actually waiting for Claudia to show up because we were supposed to go into town and meet some people in town .	go	16	ARG4	end point	town	into town	boundary_error
and all of a sudden she 's getting conference papers rejected	getting	8	ARG1	thing gotten	conference papers	conference papers rejected	boundary_error
if you 're in another country I mean and you 're not planning on coming back to the U S what are they going to do even if you do n't .	mean	8	ARG1	element containing meaning	if you 're in another country	and you 're not planning on coming back to the u s what are they going to do even if you do n't if you 're in another country i	boundary_error
And I do n't know how much you know about scientific literature ,	know	9	ARG2	entity that arg1 is known ABOUT	scientific literature	about scientific literature	boundary_error
And I do n't know how much you know about scientific literature ,	know	9	ARG0	knower	i you	you	boundary_error
And I do n't know how much you know about scientific literature ,	know	9	ARG1	fact that is known	how much you know about scientific literature	how much about scientific literature	boundary_error
and mom and dad were like well you know a wedding that 's a mass is open to everyone .	know	9	ARG1	fact that is known	a wedding that's a mass is open to everyone	a wedding that 's a mass is open to everyone	boundary_error
She 's trying to become a counselor in this drug program , and things	trying	3	ARG1	thing tried	to become a counselor in this drug program, and things	to become a counselor in this drug program	boundary_error
I mean it stays light here till about ten thirty eleven o'clock mhm . at night .	stays	4	ARG3	attribute of arg1: state, location stayed in	light here	light	boundary_error
So now you think my wedding 's going to be pretty tasteful right ?	think	4	ARG1	Thought	my wedding ’s going to be pretty tasteful	my wedding 's going to be pretty tasteful	boundary_error
%um and again my husband said we were going to give it a month , you know and said he was even going to have to sheik pray over her , you know for the jen .	pray	28	ARG0	pray-er	my husband	sheik	boundary_error
%um and again my husband said we were going to give it a month , you know and said he was even going to have to sheik pray over her , you know for the jen .	pray	28	ARG1	prayer	for the jen	over her her	boundary_error
and also lifting weights at Bally 's means you 're standing on line for as much time as you 're actually lifting .	standing	11	ARG0	causal agent	lifting weights at bally ’s	you	boundary_error
And I do n't know how much you know about scientific literature ,	know	5	ARG0	knower	i you	i	boundary_error
And I do n't know how much you know about scientific literature ,	know	5	ARG1	fact that is known	how much you know about scientific literature how much	how much you know about scientific literature	boundary_error
If you want to go %uh off into the countryside somewhere and see a little bit of , echte Holland , real Holland and we can do that too .	go	5	ARG4	end point	off into the countryside somewhere	into the countryside somewhere	boundary_error
You know I was talking to my friend Heather from Wisconsin the other day --	talking	5	ARG2	hearer	my friend heather from wisconsin	to my friend heather from wisconsin	boundary_error
Just say you know my parents are really opposed to black .	say	2	ARG1	Utterance	you know my parents are really opposed to black	my parents are really opposed to black	boundary_error
And one of the things that they find experimentally are what they call anti phased , %uh , states , where if you look at the total intensity uh-huh . of the laser , you get an oscillation which is characterized by one frequency .	characterized	41	ARG2	secondary attribute, described-as	one frequency	by one frequency	boundary_error
it has an off board power supply which they did n't steal , which makes the thing that they **stoled** absolutely worthless .	has	2	ARG1	possession	an off board power supply which they did n't steal	an off board power supply which they did n't steal , which makes the thing that they **stoled** absolutely worthless	boundary_error
Told her that she could n't talk to Jasmine play with Jasmine because she said she hurt Jasmine 's Jetta you know	know	22	ARG1	fact that is known	that she could n't talk to jasmine play with jasmine because she said she hurt jasmine 's jetta	she hurt jasmine 's jetta	boundary_error
I mean it is you know I mean absorbed	mean	2	ARG1	element containing meaning	it	it is you know i mean absorbed	boundary_error
Now I just have to work on the financial aspects of all of this .	work	6	ARG1	job, project	the financial aspects of all of this	on the financial aspects of all of this	boundary_error
But you know , I mean that mhm . should n't be a big deal . %um	mean	6	ARG1	element containing meaning	that mhm shouldn’t be a big deal	that mhm . should n't be a big deal	boundary_error
and he said he could n't keep on top of it .	said	3	ARG1	Utterance	he couldn’t keep on top of it	he could n't keep on top of it	boundary_error
But then I 've already made say like fifteen thousand or whatever here in Washington	made	6	ARG1	wages	say like fifteen thousand or whatever	fifteen thousand or whatever	boundary_error
Told her that she could n't talk to Jasmine play with Jasmine because she said she hurt Jasmine 's Jetta you know	hurt	17	ARG1	patient, entity experiencing hurt/damage	jasmine's jetta	jasmine 's jetta	boundary_error
So Cool . Cool . that 's mostly the sort of stuff that I 'm spending a lot of time on now . %um	spending	16	ARG2	activity	that sort of stuff	the sort of stuff	boundary_error
I mean , you know , writing a couple of articles based on your Master 's thesis , is , not at all unusual in Physics	mean	2	ARG1	element containing meaning	writing a couple of articles based on your master's thesis	you know , writing a couple of articles based on your master 's thesis , is , not at all unusual in physics writing a couple of articles based on your master 's thesis , is , not at all unusual in physics	boundary_error
And I was having a lot of trouble getting across to him that all of the literature has this frequency in the transients Yes . %eh and not driven .	driven	29	ARG1	thing in motion	this frequency in the transients	this frequency	boundary_error
I mean most women you lose your baby that 's it .	mean	2	ARG1	element containing meaning	you lose your baby that's it	most women you lose your baby that 's it	boundary_error
So they had to take it down and drive her home .	drive	9	ARG1	vehicle or path	her home	home	boundary_error
all they stole the second time was my bike .	stole	3	ARG1	thing stolen	my bike	all	boundary_error
and she said that if it was n't for Jetta you know Jasmine 's daddy would n't be	said	3	ARG1	Utterance	that if it wasn't for jetta you know jasmine 's daddy wouldn't be	that if it was n't for jetta you know jasmine 's daddy would n't be	boundary_error
and I 've said that yeah I will give a urine sample or a blood sample if they call me back for those , but they 're going to have to pay my trip back to the states . because there 's no bases in Holland and I 'm not going to pay out of my own expenses to go to Germany or something for them .	pay	53	ARG0	payer or buyer	they i	i	boundary_error
and I 've said that yeah I will give a urine sample or a blood sample if they call me back for those , but they 're going to have to pay my trip back to the states . because there 's no bases in Holland and I 'm not going to pay out of my own expenses to go to Germany or something for them .	pay	53	ARG1	money or attention	my own expenses	out of my own expenses	boundary_error
and I 've said that yeah I will give a urine sample or a blood sample if they call me back for those , but they 're going to have to pay my trip back to the states . because there 's no bases in Holland and I 'm not going to pay out of my own expenses to go to Germany or something for them .	pay	53	ARG3	commodity, paid for what	my trip back to the states to go to germany or something	to go to germany or something for them	boundary_error
And that 's one of those things they just never tell you up front .	tell	11	ARG1	Utterance	one of those things	those things	boundary_error
and yeah . she 's accepted that there 's a lot of good things in Rhode Island .	accepted	6	ARG1	thing accepted	that there’s a lot of good things in rhode island	that there 's a lot of good things in rhode island	boundary_error
I mean the only thing is %um just getting your heart rate up for extended periods of time .	mean	2	ARG1	element containing meaning	the only thing	the only thing is %um just getting your heart rate up for extended periods of time	boundary_error
%um , actually , I 'm not sure if we 're shooting for op- ,	shooting	12	ARG2	target	op-	for op-	boundary_error
I think Optics Letters is probably the one that we 're shooting for , or else , perhaps , though I do n't think it 's quite that significant , would be Phys Rev Letters .	think	24	ARG1	Thought	optics letters is probably the one that we’re shooting for, or else, perhaps, though i don’t think it’s quite that significant, would be phys rev letters.	it 's quite that significant	boundary_error
